Rams/Figureheads,,,
Name,Morale,Combat,Seafaring
Weathered Ram,0,50,0
Polished Figurehead,100,0,0
Sturdy Ram,0,100,0
Enchanted Figurehead,200,0,0
Reinforced Ram,0,200,0
Skeletal Figurehead,350,0,0
Armoured Ram,0,350,0
Ghostly Figurehead,500,0,0
Battle Ram,0,500,0
Intrepid Figurehead,600,0,0
War Ram,0,600,0
Inspiring Figurehead,800,0,0
Spitfire Cannon,0,800,0
Figurehead of the Spires,950,0,100
Ram of the Bladewing,0,"1,100",0
,,,
Deck Items,Morale,Combat,Seafaring
Weathered Rigging,0,0,100
Small Crate of Food,100,0,0
Sturdy Rigging,0,0,200
Large Crate of Food,200,0,0
Single Cannon,0,200,0
Entwined Rigging,0,0,450
Small Crate of Riches,450,0,0
Cannon x2,0,450,0
Oxskin Rigging,0,0,700
Large Crate of Riches,700,0,0
Heavy Cannon x2,0,700,0
Ornate Rigging,0,0,"1,000"
Eastern Artefacts,"1,000",0,0
Cannon x3,0,"1,000",0
Whaleskin Rigging,0,0,"1,200"
Eastern Treasures,"1,200",0,0
Cannon x4,0,"1,200",0
Dragonskin Rigging,0,0,"1,350"
Eastern Relics,"1,350",0,0
Heavy Cannon x4,0,"1,350",0
Overwhelmingly Large Cannon x4,0,"1,750",0
Bladewing Rigging,0,0,"2,000"
Fineglow Lanterns,"2,000",0,0
,,,
Hulls,Morale,Combat,Seafaring
Barnacled Hull,50,50,100
Reinforced Hull,100,150,100
Sleek Hull,100,100,150
Battle Hull,200,450,200
Golden Hull,450,200,200
Hull of Tides,300,300,700
Armoured Hull,300,700,300
Hull of Storms,400,400,900
War Hull,400,900,400
Hull of Glory,"1,200",500,500
Storm Rider Hull,500,500,"1,200"
Golden Katana Hull,500,"1,400",500
Blazing Lantern Hull,"1,400",500,500
Blackwater Hull,850,750,"1,700"
Shimmering Azure Hull,"1,325","1,325","1,325"
